"UserId","RecommendedMovieIds"
"4","3892 3145 1088 1763 1645"
"11","3892 3145 1645 1763 1088"
"14","3892 3145 1088 1763 1645"
"23","3892 3145 1088 1763 1645"
"28","3892 3145 1645 1763 1088"
"33","3892 3145 1645 1763 1088"
"42","3892 3145 1088 1763 1645"
"43","3892 3145 1645 1763 1088"
"48","3892 3145 1645 1763 1088"
"49","3892 3145 1088 1763 1645"
"52","3892 3145 1645 1763 1088"
"56","3892 3145 1088 1763 1645"
"58","3892 3145 1645 1763 1088"
"61","3892 3145 1645 1763 1088"
"64","3892 3145 1088 1763 1645"
"71","3892 3145 1645 1763 1088"
"72","3892 3145 1645 1763 1088"
"73","3892 3145 1645 1763 1088"
"84","3892 3145 1645 1763 1088"
"89","3892 3145 1088 1763 1645"
"91","3892 3145 1645 1763 1088"
"93","3892 3145 1645 1763 1088"
"103","3892 3145 1088 1763 1645"
"104","3892 3145 1645 1763 1088"
"106","3892 3145 1645 1763 1088"
"135","3892 3145 1645 1763 1088"
"146","3892 3145 1645 1763 1088"
"147","3892 3145 1645 1763 1088"
"153","3892 3145 1645 1763 1088"
"155","3892 3145 1645 1763 1088"
"160","3892 3145 1088 1763 1645"
"195","3892 3145 1645 1763 1088"
"198","3892 3145 1088 1763 1645"
"201","3892 3145 1645 1763 1088"
"204","3892 3145 1645 1763 1088"
"205","3892 3145 1645 1763 1088"
"214","3892 3145 1645 1763 1088"
"215","3892 3145 1645 1763 1088"
"221","3892 3145 1645 1763 1088"
"222","3892 3145 1645 1763 1088"
"231","3892 3145 1088 1763 1645"
"233","3892 3145 1645 1763 1088"
"235","3892 3145 1645 1763 1088"
"237","3892 3145 1645 1763 1088"
"242","3892 3145 1645 1763 1088"
"244","3892 3145 1645 1763 1088"
"249","3892 3145 1645 1763 1088"
"257","3892 3145 1645 1763 1088"
"267","3892 3145 1645 1763 1088"
"268","3892 3145 1645 1763 1088"
"271","3892 3145 1645 1763 1088"
"281","3892 3145 1645 1763 1088"
"285","3892 3145 1645 1763 1088"
"291","3892 3145 1088 1763 1645"
"295","3892 3145 1088 1763 1645"
"297","3892 3145 1088 1763 1645"
"300","3892 3145 1088 1763 1645"
"301","3892 3145 1645 1763 1088"
"304","3892 3145 1645 1763 1088"
"305","3892 3145 1645 1763 1088"
"306","3892 3145 1088 1763 1645"
"312","3892 3145 1645 1763 1088"
"317","3892 3145 1645 1763 1088"
"322","3892 3145 1645 1763 1088"
"333","3892 3145 1645 1763 1088"
"339","3892 3145 1088 1763 1645"
"348","3892 3145 1645 1763 1088"
"350","3892 3145 1088 1763 1645"
"351","3892 3145 1645 1763 1088"
"358","3892 3145 1645 1763 1088"
"367","3892 3145 1645 1763 1088"
"369","3892 3145 1645 1763 1088"
"371","3892 3145 1645 1763 1088"
"373","3892 3145 1645 1763 1088"
"376","3892 3145 1088 1763 1645"
"377","3892 3145 1645 1763 1088"
"387","3892 3145 1088 1763 1645"
"401","3892 3145 1645 1763 1088"
"410","3892 3145 1645 1763 1088"
"411","3892 3145 1645 1763 1088"
"419","3892 3145 1088 1763 1645"
"423","3892 3145 1645 1763 1088"
"427","3892 3145 1088 1763 1645"
"438","3892 3145 1088 1763 1645"
"439","3892 3145 1088 1763 1645"
"440","3892 3145 1645 1763 1088"
"443","3892 3145 1088 1763 1645"
"456","3892 3145 1645 1763 1088"
"460","3892 3145 1088 1763 1645"
"477","3892 3145 1645 1763 1088"
"479","3892 3145 1645 1763 1088"
"480","3892 3145 1088 1763 1645"
"482","3892 3145 1645 1763 1088"
"484","3892 3145 1088 1763 1645"
"489","3892 3145 1645 1763 1088"
"501","3892 3145 1645 1763 1088"
"502","3892 3145 1088 1763 1645"
"507","3892 3145 1645 1763 1088"
"515","3892 3145 1645 1763 1088"
"516","3892 3145 1088 1763 1645"
"518","3892 3145 1645 1763 1088"
"530","3892 3145 1645 1763 1088"
"531","3892 3145 1645 1763 1088"
"534","3892 3145 1645 1763 1088"
"539","3892 3145 1645 1763 1088"
"541","3892 3145 1645 1763 1088"
"547","3892 3145 1645 1763 1088"
"554","3892 3145 1088 1763 1645"
"558","3892 3145 1645 1763 1088"
"565","3892 3145 1645 1763 1088"
"573","3892 3145 1088 1763 1645"
"580","3892 3145 1645 1763 1088"
"581","3892 3145 1645 1763 1088"
"626","3892 3145 1645 1763 1088"
"660","3892 3145 1645 1763 1088"
"665","3892 3145 1645 1763 1088"
"674","3892 3145 1088 1763 1645"
"678","3892 3145 1645 1763 1088"
"679","3892 3145 1645 1763 1088"
