"UserId","RecommendedMovieIds"
"26","3596 3823 1328 1545 2746"
"31","1545 1857 3596 1562 1005"
"32","3596 3823 1398 1328 2689"
"35","3596 3823 1398 1328 2689"
"39","3596 1857 1545 600 1562"
"50","3596 3823 1398 1328 2689"
"54","3596 1857 1005 600 1562"
"59","3596 1857 1562 1545 303"
"62","3596 3823 1398 3685 480"
"63","1857 1562 1545 303 1005"
"69","1857 1545 3596 2746 1288"
"73","1545 1857 3596 1562 1005"
"74","3596 1857 1562 1545 303"
"82","1545 1857 3596 1562 1005"
"84","3596 1857 1562 1545 303"
"98","3596 3823 1328 1545 2746"
"99","3596 1857 1005 1545 600"
"100","3596 1857 1005 1545 600"
"107","3596 1857 1562 1545 303"
"113","1545 1857 3596 1562 1005"
"135","3596 3823 1398 3685 480"
"143","3596 1857 1562 1545 303"
"144","3596 1857 1562 1545 303"
"145","3596 3823 1398 1328 2689"
"146","1545 1857 3596 1562 1005"
"150","3596 1857 1562 303 1005"
"152","1545 1857 3596 1562 1005"
"153","1857 1545 3596 2746 1288"
"158","3596 1857 1562 1545 303"
"162","3596 1857 1005 1545 600"
"167","3823 3596 2305 3685 1328"
"169","3596 1857 1562 1545 303"
"170","3596 3823 1328 2689 1005"
"176","3596 1857 1005 1545 600"
"178","3596 3823 1398 3685 480"
"191","3596 1857 1005 1545 600"
"201","3596 1857 1545 600 1562"
"202","3596 1857 1545 600 1562"
"210","3823 3596 2305 3685 1328"
"226","3596 3823 1398 480 1005"
"245","3596 1005 3852 2689 1415"
"253","1857 1545 3596 2746 1288"
"260","3596 3823 1398 1328 2689"
"262","3596 1857 1545 600 1562"
"263","3596 1005 3852 2689 1415"
"264","3596 1857 1562 1545 303"
"265","3596 1857 1562 1545 303"
"275","3596 3823 1398 1328 2689"
"297","1545 1857 3596 1562 1005"
"304","3596 1857 1562 1545 303"
"312","3596 1857 1562 1545 303"
"315","3596 3823 192 1415 2308"
"320","3596 1857 1005 1545 600"
"322","3596 1857 1562 1545 303"
"323","1545 1857 3596 1562 1005"
"327","3596 1857 1562 1545 303"
"332","3596 1545 600 1562 303"
"336","1545 1857 3596 1562 600"
"341","3596 1857 1562 1545 303"
"344","1857 1562 1545 303 1005"
"346","3596 3823 1328 2746 902"
"347","1545 1857 3596 1562 1005"
"354","3596 3823 1328 1545 2746"
"360","3596 1857 1562 1545 1005"
"363","1857 1545 3596 2746 1288"
"368","3596 1857 1005 1545 600"
"379","3596 1857 1562 1545 303"
"396","3596 1857 1562 1545 303"
"403","3596 1857 1562 1545 303"
"405","3596 3823 1328 1545 2746"
"408","3596 3823 1398 3685 480"
"414","1857 1545 3596 2746 1288"
"430","3596 1857 1005 1545 600"
"431","3596 3823 1398 3685 480"
"433","1545 1857 3596 1562 1005"
"443","1545 1857 3596 1562 1005"
"444","1857 1545 3596 2746 1288"
"447","1857 1545 3596 2746 1288"
"450","1545 1857 3596 1562 1005"
"460","3596 1857 1005 1545 600"
"465","1857 3596 1562 1005 600"
"467","3596 1857 1562 1545 303"
"471","3596 1857 1005 1545 600"
"478","1545 1857 3596 1562 1005"
"479","3596 1857 1545 600 1562"
"490","3596 1005 3852 2689 1415"
"495","1857 1545 3596 2746 1288"
"498","1545 1857 3596 1562 1005"
"501","3596 1857 1545 600 1562"
"507","3596 1857 1562 1545 303"
"512","3596 3823 1398 1328 2689"
"539","3596 1857 1562 1545 303"
"541","3596 1857 1562 1545 303"
"542","1545 1857 3596 1562 1005"
"554","3596 3823 1398 3685 480"
"557","3596 3823 1328 1545 902"
"573","3596 1857 1562 1545 303"
"574","1857 1545 3596 2746 1288"
"579","1857 1545 3596 2746 1288"
"581","3596 1857 600 1562 3852"
"586","1545 1857 1562 1005 600"
"587","3596 1857 1005 1545 600"
"588","3596 1857 1545 600 1562"
"599","3596 3823 1398 3685 480"
"607","3596 3823 1328 1545 2746"
"612","3596 1857 1562 1545 1005"
"619","3596 1857 1005 1545 600"
"627","3596 3823 1398 3685 480"
"629","1545 1857 3596 1562 1005"
"638","3596 1398 1328 2689 1005"
"641","1545 1857 3596 1562 1005"
"644","3596 1857 1562 303 1005"
"645","1857 1545 3596 2746 1288"
"648","1857 1545 3596 2746 1288"
"654","3596 1857 1545 600 1562"
"662","3596 1857 1005 1545 600"
"670","1857 3596 1562 1005 600"
"675","3596 3823 2746 2689 484"
"677","3596 1857 1005 1545 600"
"698","1545 1857 3596 1562 1005"
"711","3596 3823 2746 2689 484"
"713","1857 3596 1562 1005 600"
"724","3596 1857 1005 1545 600"
"725","1857 1545 3596 2746 1288"
"736","1545 1857 3596 1562 1005"
"738","3596 3823 1398 1328 2689"
"741","3596 1857 1562 1545 303"
"744","3596 3823 192 1415 2308"
"746","3596 1857 1545 600 1562"
"756","3596 3823 1328 1545 2746"
"761","1857 1545 3596 2746 1288"
"762","3596 1857 1562 1545 303"
"767","3596 1857 1545 600 1562"
"774","3596 1005 1545 600 1562"
"780","3596 1857 1562 1545 303"
"782","3823 1398 2689 1005 2746"
"786","3596 3823 1398 3685 480"
"789","1545 1857 3596 1562 1005"
"792","1857 1545 3596 2746 1288"
"799","3823 3596 2305 3685 1328"
"800","3596 3823 2746 2689 484"
"804","3596 3823 1398 1328 2689"
"807","3596 1857 1562 1545 303"
"829","3596 3823 2746 2689 484"
"836","3596 1857 1562 1545 303"
"837","3596 1857 1562 1545 303"
"846","1857 1545 3596 2746 1288"
"849","3596 1857 1545 600 3852"
"863","3596 1857 1545 600 1562"
"867","3823 1328 1545 2746 902"
"873","3596 1857 1562 1545 303"
"879","3596 1857 1005 1545 600"
"880","3596 1857 1005 1545 600"
"883","3596 1857 1562 1545 303"
"890","3596 3823 1398 1328 2689"
"893","1857 1562 1545 303 1005"
"894","1545 1857 3596 1562 1005"
"917","1545 1857 3596 1562 1005"
"923","1857 1005 1545 600 1562"
"927","3596 1857 1562 1545 303"
"930","3596 1857 1562 1545 303"
"931","3596 3823 1398 3685 480"
"937","3596 3823 1328 1545 2746"
"938","1545 3596 1562 1005 600"
"944","3596 1857 1562 1545 303"
"946","3596 3823 1398 1328 2689"
"949","3596 3823 1328 1545 2746"
"952","3596 1857 1545 600 1562"
"957","3596 1857 1562 1545 303"
"966","3596 1857 1545 600 1562"
"967","3596 1857 1545 600 3852"
"974","3596 1857 1005 1545 600"
"978","3596 1857 1562 1545 303"
"979","1545 1857 3596 1562 1005"
"982","3596 1857 1005 1545 600"
"984","3596 1857 1005 1545 600"
"986","1545 1857 3596 1562 1005"
"992","1545 1857 1562 1005 600"
"995","1545 1857 3596 1562 1005"
"999","3596 3823 1328 1545 2746"
"1002","3596 3823 1328 1545 2746"
"1003","1857 1562 1545 303 1005"
"1014","3596 3823 1398 1328 2689"
"1026","3596 3823 192 1415 2308"
"1035","3596 3823 1398 3685 480"
"1038","3596 1857 1562 1545 303"
"1041","1545 1857 3596 1562 1005"
"1043","3596 1005 600 1562 303"
"1045","3596 1857 1005 1545 600"
"1055","3596 1005 3852 2689 1415"
"1058","1545 1857 3596 1562 1005"
"1061","3823 3596 2305 3685 1328"
"1066","3596 1857 1562 1545 303"
"1070","3596 3823 1398 1328 2689"
"1073","3596 1857 1562 1545 303"
"1076","3596 1857 1005 1545 600"
"1079","3823 3596 2305 3685 1328"
"1086","3596 1857 1005 1545 600"
"1088","3596 1857 1005 1545 600"
"1098","3596 3823 1398 3685 480"
"1104","1545 1857 3596 1562 1005"
"1105","3596 1005 3852 2689 1415"
"1106","1857 1545 3596 2746 1288"
"1111","3596 1005 3852 2689 1415"
"1115","3596 1857 1562 1545 303"
"1118","3596 1857 1562 1545 303"
"1120","3596 1857 1545 600 1562"
"1121","1545 1857 3596 1562 1005"
"1132","3596 1857 1562 1545 303"
"1135","3596 3823 1398 3685 480"
"1142","3596 1857 1562 1545 303"
"1144","1545 1857 3596 1562 1005"
"1146","3596 1857 1005 1545 600"
"1149","3596 3823 1328 1545 2746"
"1156","3596 3823 3685 480 1005"
"1158","3596 1857 1005 1545 600"
"1167","3596 1857 1562 1545 303"
"1175","3596 1857 1005 1545 600"
"1177","1545 1857 3596 1562 1005"
"1181","1857 1545 3596 2746 1288"
"1184","1545 1857 3596 1562 1005"
"1189","3596 1857 1545 600 1562"
"1199","1857 3596 1562 1005 600"
"1217","3596 3823 1398 3685 480"
"1221","3596 3823 1398 1328 2689"
"1225","1545 1857 3596 1562 1005"
"1226","3596 1857 1005 1545 600"
"1230","3596 1857 1562 1545 303"
"1235","3596 1857 1562 1545 303"
"1241","1857 3596 1562 1005 600"
"1243","3596 1857 1005 1545 600"
"1244","3596 1857 1562 1545 303"
"1245","3596 1857 1005 1545 600"
"1247","3596 1857 1545 600 1562"
"1250","3596 1857 1562 1545 303"
"1252","3596 3823 1328 1545 2746"
"1256","3596 1857 1005 1545 600"
"1258","3823 1398 1328 2689 1005"
"1260","1545 1857 3596 1562 1005"
"1262","3596 1005 1545 600 1562"
