"UserId","RecommendedMovieIds"
"26","3596 1545 1857 1005 600"
"31","3596 1545 1857 1005 600"
"32","3596 1545 1857 1005 600"
"35","3596 1545 1857 1005 600"
"39","3596 1545 1857 600 1712"
"50","3596 1545 1857 1005 600"
"54","3596 1857 1005 600 1712"
"59","3596 1545 1857 1005 600"
"62","3596 1545 1857 1005 600"
"63","1545 1857 1005 600 1712"
"69","3596 1545 1857 600 1712"
"73","3596 1545 1857 1005 600"
"74","3596 1545 1857 1005 600"
"82","3596 1545 1857 1005 600"
"84","3596 1545 1857 1005 600"
"98","3596 1545 1857 1005 600"
"99","3596 1545 1857 1005 600"
"100","3596 1545 1857 1005 600"
"107","3596 1545 1857 1005 600"
"113","3596 1545 1857 1005 600"
"135","3596 1545 1857 600 1712"
"143","3596 1545 1857 1005 600"
"144","3596 1545 1857 1005 600"
"145","3596 1545 1857 1005 600"
"146","3596 1545 1857 1005 600"
"150","3596 1857 1005 600 1712"
"152","3596 1545 1857 1005 600"
"153","3596 1545 1857 1005 600"
"158","3596 1545 1857 1005 600"
"162","3596 1545 1857 1005 600"
"167","3596 1545 1857 1005 600"
"169","3596 1545 1857 1005 600"
"170","3596 1545 1857 1005 600"
"176","3596 1545 1857 1005 600"
"178","3596 1545 1857 1005 600"
"191","3596 1545 1857 1005 600"
"201","3596 1545 1857 1005 600"
"202","3596 1545 1857 1005 600"
"210","3596 1545 1857 1005 600"
"226","3596 1545 1857 1005 600"
"245","3596 1545 1857 1005 600"
"253","3596 1545 1857 1005 600"
"260","3596 1545 1857 1005 600"
"262","3596 1545 1857 1005 600"
"263","3596 1545 1857 1005 1712"
"264","3596 1545 1857 1005 600"
"265","3596 1545 1857 1005 600"
"275","3596 1545 1857 1005 600"
"297","3596 1545 1857 1005 600"
"304","3596 1545 1857 1005 600"
"312","3596 1545 1857 1005 600"
"315","3596 1545 1857 1005 1712"
"320","3596 1545 1857 1005 600"
"322","3596 1545 1857 1005 600"
"323","3596 1545 1857 1005 600"
"327","3596 1545 1857 1005 600"
