"UserId","RecommendedMovieIds"
"26","3596 3823 1328 480 3205"
"31","1545 3596 1857 1712 303"
"32","3596 3823 1328 480 3205"
"35","3596 3823 1328 480 3205"
"39","1545 3596 1857 1712 303"
"50","3596 3823 1328 480 3205"
"54","1545 3596 1857 1712 303"
"59","1545 3596 1857 1712 303"
"62","3596 3823 1328 480 3205"
"63","1545 3596 1857 1712 303"
"69","1545 3596 1857 1712 303"
"73","1545 3596 1857 1712 303"
"74","1545 3596 1857 1712 303"
"82","1545 3596 1857 1712 303"
"84","1545 3596 1857 1712 303"
"98","3596 3823 1328 480 3205"
"99","1545 3596 1857 1712 303"
"100","1545 3596 1857 1712 303"
"107","1545 3596 1857 1712 303"
"113","1545 3596 1857 1712 303"
"135","3596 3823 1328 480 3205"
"143","1545 3596 1857 1712 303"
"144","1545 3596 1857 1712 303"
"145","3596 3823 1328 480 3205"
"146","1545 3596 1857 1712 303"
"150","1545 3596 1857 1712 303"
"152","1545 3596 1857 1712 303"
"153","1545 3596 1857 1712 303"
"158","1545 3596 1857 1712 303"
"162","1545 3596 1857 1712 303"
"167","3596 3823 1328 480 3205"
"169","1545 3596 1857 1712 303"
"170","3596 3823 1328 480 3205"
"176","1545 3596 1857 1712 303"
"178","3596 3823 1328 480 3205"
"191","1545 3596 1857 1712 303"
"201","1545 3596 1857 1712 303"
"202","1545 3596 1857 1712 303"
"210","3596 3823 1328 480 3205"
"226","3596 3823 1328 480 3205"
"245","1545 3596 1857 1712 303"
"253","1545 3596 1857 1712 303"
"260","3596 3823 1328 480 3205"
"262","1545 3596 1857 1712 303"
"263","1545 3596 1857 1712 303"
"264","1545 3596 1857 1712 303"
"265","1545 3596 1857 1712 303"
"275","3596 3823 1328 480 3205"
"297","1545 3596 1857 1712 303"
"304","1545 3596 1857 1712 303"
"312","1545 3596 1857 1712 303"
"315","3596 3823 1328 480 3205"
"320","1545 3596 1857 1712 303"
"322","1545 3596 1857 1712 303"
"323","1545 3596 1857 1712 303"
"327","1545 3596 1857 1712 303"
"332","1545 3596 1857 1712 303"
"336","1545 3596 1857 1712 303"
"341","1545 3596 1857 1712 303"
"344","1545 3596 1857 1712 303"
"346","3596 3823 1328 480 3205"
"347","1545 3596 1857 1712 303"
"354","3596 3823 1328 480 3205"
"360","1545 3596 1857 1712 303"
"363","1545 3596 1857 1712 303"
"368","1545 3596 1857 1712 303"
"379","1545 3596 1857 1712 303"
"396","1545 3596 1857 1712 303"
"403","1545 3596 1857 1712 303"
"405","3596 3823 1328 480 3205"
"408","3596 3823 1328 480 3205"
"414","1545 3596 1857 1712 303"
"430","1545 3596 1857 1712 303"
"431","3596 3823 1328 480 3205"
"433","1545 3596 1857 1712 303"
"443","1545 3596 1857 1712 303"
"444","1545 3596 1857 1712 303"
"447","1545 3596 1857 1712 303"
"450","1545 3596 1857 1712 303"
"460","1545 3596 1857 1712 303"
"465","1545 3596 1857 1712 303"
"467","1545 3596 1857 1712 303"
"471","1545 3596 1857 1712 303"
"478","1545 3596 1857 1712 303"
"479","1545 3596 1857 1712 303"
"490","1545 3596 1857 1712 303"
"495","1545 3596 1857 1712 303"
"498","1545 3596 1857 1712 303"
"501","1545 3596 1857 1712 303"
"507","1545 3596 1857 1712 303"
"512","3596 3823 1328 480 3205"
"539","1545 3596 1857 1712 303"
"541","1545 3596 1857 1712 303"
"542","1545 3596 1857 1712 303"
"554","3596 3823 1328 480 3205"
"557","3596 3823 1328 480 3205"
"573","1545 3596 1857 1712 303"
"574","1545 3596 1857 1712 303"
"579","1545 3596 1857 1712 303"
"581","1545 3596 1857 1712 303"
"586","1545 3596 1857 1712 303"
"587","1545 3596 1857 1712 303"
"588","1545 3596 1857 1712 303"
"599","3596 3823 1328 480 3205"
"607","3596 3823 1328 480 3205"
"612","1545 3596 1857 1712 303"
"619","1545 3596 1857 1712 303"
"627","3596 3823 1328 480 3205"
"629","1545 3596 1857 1712 303"
"638","3596 3823 1328 480 3205"
"641","1545 3596 1857 1712 303"
"644","1545 3596 1857 1712 303"
"645","1545 3596 1857 1712 303"
"648","1545 3596 1857 1712 303"
"654","1545 3596 1857 1712 303"
"662","1545 3596 1857 1712 303"
"670","1545 3596 1857 1712 303"
"675","3596 3823 1328 480 3205"
"677","1545 3596 1857 1712 303"
"698","1545 3596 1857 1712 303"
"711","3596 3823 1328 480 3205"
"713","1545 3596 1857 1712 303"
"724","1545 3596 1857 1712 303"
"725","1545 3596 1857 1712 303"
"736","1545 3596 1857 1712 303"
"738","3596 3823 1328 480 3205"
"741","1545 3596 1857 1712 303"
"744","3596 3823 1328 480 3205"
"746","1545 3596 1857 1712 303"
"756","3596 3823 1328 480 3205"
"761","1545 3596 1857 1712 303"
"762","1545 3596 1857 1712 303"
"767","1545 3596 1857 1712 303"
"774","1545 3596 1857 1712 303"
"780","1545 3596 1857 1712 303"
"782","3596 3823 1328 480 3205"
"786","3596 3823 1328 480 3205"
"789","1545 3596 1857 1712 303"
"792","1545 3596 1857 1712 303"
"799","3596 3823 1328 480 3205"
"800","3596 3823 1328 480 3205"
"804","3596 3823 1328 480 3205"
"807","1545 3596 1857 1712 303"
"829","3596 3823 1328 480 3205"
"836","1545 3596 1857 1712 303"
"837","1545 3596 1857 1712 303"
"846","1545 3596 1857 1712 303"
"849","1545 3596 1857 1712 303"
"863","1545 3596 1857 1712 303"
"867","3596 3823 1328 480 3205"
"873","1545 3596 1857 1712 303"
"879","1545 3596 1857 1712 303"
"880","1545 3596 1857 1712 303"
"883","1545 3596 1857 1712 303"
"890","3596 3823 1328 480 3205"
"893","1545 3596 1857 1712 303"
"894","1545 3596 1857 1712 303"
"917","1545 3596 1857 1712 303"
"923","1545 3596 1857 1712 303"
"927","1545 3596 1857 1712 303"
"930","1545 3596 1857 1712 303"
"931","3596 3823 1328 480 3205"
"937","3596 3823 1328 480 3205"
"938","1545 3596 1857 1712 303"
"944","1545 3596 1857 1712 303"
"946","3596 3823 1328 480 3205"
"949","3596 3823 1328 480 3205"
"952","1545 3596 1857 1712 303"
"957","1545 3596 1857 1712 303"
"966","1545 3596 1857 1712 303"
"967","1545 3596 1857 1712 303"
"974","1545 3596 1857 1712 303"
"978","1545 3596 1857 1712 303"
"979","1545 3596 1857 1712 303"
"982","1545 3596 1857 1712 303"
"984","1545 3596 1857 1712 303"
"986","1545 3596 1857 1712 303"
"992","1545 3596 1857 1712 303"
"995","1545 3596 1857 1712 303"
"999","3596 3823 1328 480 3205"
"1002","3596 3823 1328 480 3205"
"1003","1545 3596 1857 1712 303"
"1014","3596 3823 1328 480 3205"
