"UserId","RecommendedMovieIds"
"4","2318 2382 1101 2522 2943 "
"11","2318 2382 1101 2522 2943 "
"14","2318 2382 1101 2522 2943 "
"23","2318 2382 1101 2943 2522 "
"28","2318 2382 1101 2522 2943 "
"33","2318 2382 1101 2522 2943 "
"42","2318 2382 1101 2943 2522 "
"43","2318 2382 1101 2522 2943 "
"48","2318 2382 1101 2522 2943 "
"49","2318 2382 1101 2522 2943 "
"52","2318 2382 1101 2943 2522 "
"56","2318 2382 1101 2522 2943 "
"58","2318 2382 1101 2522 2943 "
"61","2318 2382 1101 2522 2943 "
"64","2318 2382 1101 2943 2522 "
"71","2318 2382 1101 2522 2943 "
"72","2318 2382 1101 2522 2943 "
"73","2318 2382 1101 2943 2522 "
"84","2318 2382 1101 2522 2943 "
"89","2318 2382 1101 2522 2943 "
"91","2318 2382 1101 2522 2943 "
"93","2318 2382 1101 2943 2522 "
"103","2318 2382 1101 2522 2943 "
"104","2318 1101 2382 2522 2943 "
"106","2318 2382 1101 2943 2522 "
"135","2318 2382 1101 2522 2943 "
"146","2318 2382 1101 2522 2943 "
"147","2318 2382 1101 2522 2943 "
"153","2318 1101 2382 2943 2522 "
"155","2318 2382 1101 2522 2943 "
"160","2318 2382 1101 2522 2943 "
"195","2318 2382 1101 2522 2943 "
"198","2318 2382 1101 2522 2943 "
"201","2318 2382 1101 2522 2943 "
"204","2318 2382 1101 2522 2943 "
"205","2318 2382 1101 2522 2943 "
"214","2318 2382 1101 2522 2943 "
"215","2318 2382 1101 2522 2943 "
"221","2318 2382 1101 2943 2522 "
"222","2318 2382 1101 2522 2943 "
"231","2318 2382 1101 2522 2943 "
"233","2318 2382 1101 2522 2943 "
"235","2318 2382 1101 2522 2943 "
"237","2318 2382 1101 2943 2522 "
"242","2318 2382 1101 2522 2943 "
"244","2318 2382 1101 2522 2943 "
"249","2318 2382 1101 2943 2522 "
"257","2318 2382 1101 2522 2943 "
"267","2318 2382 1101 2522 2943 "
"268","2318 2382 1101 2522 2943 "
"271","2318 2382 1101 2943 2522 "
"281","2318 2382 1101 2522 2943 "
"285","2318 2382 1101 2522 2943 "
"291","2318 2382 1101 2522 2943 "
"295","2318 2382 1101 2522 2943 "
"297","2318 2382 1101 2522 2943 "
"300","2318 2382 1101 2522 2943 "
"301","2318 2382 1101 2522 2943 "
"304","2318 2382 1101 2522 2943 "
"305","2318 2382 1101 2943 2522 "
"306","2318 2382 1101 2943 957 "
"312","2318 2382 1101 2522 2943 "
"317","2318 2382 1101 2522 2943 "
"322","2318 2382 1101 2943 2522 "
"333","2318 2382 1101 2943 2522 "
"339","2318 1101 2382 2522 2943 "
"348","2318 2382 1101 2522 2943 "
"350","2318 2382 1101 2522 2943 "
"351","2318 1101 2382 2522 2943 "
"358","2318 2382 1101 2522 2943 "
"367","2318 2382 1101 2522 2943 "
"369","2318 2382 1101 957 2522 "
"371","2318 2382 1101 2522 2943 "
"373","2318 1101 2382 2522 3381 "
"376","2318 2382 1101 2522 2943 "
"377","2318 2382 1101 2522 2943 "
"387","2318 2382 1101 2522 2943 "
"401","2318 2382 1101 2522 957 "
"410","2318 2382 1101 2522 2943 "
"411","2318 2382 1101 2522 2943 "
"419","2318 2382 1101 2522 2943 "
"423","2318 2382 1101 2522 2943 "
"427","2318 2382 1101 2522 2943 "
"438","2318 2382 1101 2522 2943 "
"439","2318 2382 1101 2522 2943 "
"440","2318 2382 1101 2522 2943 "
"443","2318 2382 1101 2522 2943 "
"456","2318 2382 1101 2522 2943 "
"460","2318 2382 1101 2522 2943 "
"477","2318 2382 1101 2522 2943 "
"479","2318 2382 1101 2522 2943 "
"480","2318 2382 1101 2522 2943 "
"482","2318 2382 1101 2943 2522 "
"484","2318 2382 1101 2522 2943 "
"489","2318 2382 1101 2522 2943 "
"501","2318 2382 1101 2943 2522 "
"502","2318 2382 1101 2522 2943 "
"507","2318 2382 1101 2522 2943 "
"515","2318 1101 2382 2943 2522 "
"516","2318 2382 1101 2522 2943 "
"518","2318 2382 1101 2943 2522 "
"530","2318 2382 1101 2522 2943 "
"531","2318 1101 2382 2522 2943 "
"534","2318 1101 2382 2522 2943 "
"539","2318 2382 1101 2522 2943 "
"541","2318 2382 1101 2943 2522 "
"547","2318 2382 1101 2943 2522 "
"554","2318 2382 1101 2522 2943 "
"558","2318 2382 1101 2943 2522 "
"565","2318 2382 1101 2522 2943 "
"573","2318 2382 1101 2522 2943 "
"580","2318 2382 1101 2522 2943 "
"581","2318 2382 1101 2522 2943 "
"626","2318 2382 1101 2522 2943 "
"660","2318 2382 1101 2522 2943 "
"665","2318 2382 1101 2943 2522 "
"674","2318 1101 2522 2382 2943 "
"678","2318 2382 1101 2522 2943 "
"679","2318 2382 1101 2522 957 "
"680","2318 2382 1101 2522 2943 "
"685","2318 1101 2382 2943 2522 "
"690","2318 2382 1101 2522 2943 "
"701","2318 2382 1101 2522 2943 "
"703","2318 2382 1101 2522 2943 "
"705","2318 2382 1101 2943 2522 "
"706","2318 2382 1101 2943 2522 "
"710","2318 1101 2382 2943 2522 "
"716","2318 1101 2382 2522 2943 "
"718","2318 2382 1101 2522 2943 "
"726","2318 2382 1101 2522 2943 "
"744","2318 1101 2382 2943 2522 "
"749","2318 2382 1101 2943 2522 "
"754","2318 2382 1101 2522 2943 "
"759","2318 2382 1101 2943 2522 "
"764","2318 1101 2382 2522 2943 "
"770","2318 1101 2382 2522 2943 "
"771","2318 2382 1101 2522 2943 "
"774","2318 2382 1101 2522 2943 "
"778","2318 2382 1101 2522 2943 "
"782","2318 2382 1101 2522 2943 "
"784","2318 2382 1101 2522 2943 "
"785","2318 2382 1101 2943 2522 "
"787","2318 2382 1101 2522 2943 "
"794","2318 2382 1101 2522 2943 "
"795","2318 2382 1101 2943 2522 "
"800","2318 2382 1101 2943 2522 "
"804","2318 2382 1101 2943 2522 "
"825","2318 2382 1101 2943 2522 "
"830","2318 2382 1101 2522 2943 "
"833","2318 2382 1101 2522 2943 "
"845","2318 2382 1101 2522 2943 "
"857","2318 2382 1101 2522 2943 "
"858","2318 1101 2382 2943 2522 "
"859","2318 2382 1101 2522 2943 "
"870","2318 1101 2382 2943 957 "
"872","2318 1101 2522 2943 2382 "
"893","2318 2382 1101 2522 2943 "
"897","2318 2382 1101 2522 2943 "
"900","2318 2382 1101 2943 2522 "
"902","2318 1101 2382 2522 2943 "
"903","2318 2382 1101 2522 2943 "
"906","2318 1101 2522 2382 2943 "
"907","2318 2382 1101 2943 2522 "
"909","2318 2382 1101 2522 2943 "
"920","2318 2382 1101 2522 2943 "
"922","2318 2382 1101 2522 2943 "
"923","2318 2382 1101 2522 2943 "
"927","2318 2382 1101 2522 2943 "
"929","2318 2382 1101 2522 2943 "
"930","2318 2382 1101 2522 2943 "
"938","2318 2382 1101 2522 2943 "
"948","2318 2382 1101 2522 2943 "
"953","2318 2382 1101 2522 2943 "
"958","2318 2382 1101 2522 2943 "
"974","2318 2382 1101 2943 2522 "
"992","2318 2382 1101 2943 2522 "
"1001","2318 2382 1101 2522 2943 "
"1002","2318 2382 1101 2522 2943 "
"1004","2318 1101 2382 2522 2943 "
"1006","2318 2382 1101 2522 2943 "
"1007","2318 2382 1101 2522 2943 "
"1011","2318 2382 1101 2522 2943 "
"1018","2318 2382 1101 2522 2943 "
"1023","2318 2382 1101 2522 2943 "
"1027","2318 2382 1101 2943 2522 "
"1028","2318 2382 1101 2943 2522 "
"1037","2318 2382 1101 2522 957 "
"1043","2318 1101 2382 2522 2943 "
"1049","2318 1101 2382 2522 957 "
"1052","2318 2382 1101 2943 2522 "
"1060","2318 2382 1101 2522 2943 "
"1067","2318 2382 1101 2943 2522 "
"1086","2318 2382 1101 2522 2943 "
"1087","2318 2382 1101 2943 2522 "
"1088","2318 2382 1101 2522 2943 "
"1096","2318 1101 2382 2522 2943 "
"1104","2318 2382 1101 2522 2943 "
"1109","2318 2382 1101 2522 2943 "
"1112","2318 2382 1101 2522 2943 "
"1132","2318 2382 1101 2943 2522 "
"1147","2318 1101 2382 2522 2943 "
"1151","2318 1101 2382 2522 2943 "
"1152","2318 2382 1101 2522 2943 "
"1154","2318 2382 1101 2522 2943 "
"1157","2318 1101 2382 2522 2943 "
"1161","2318 2382 1101 2522 2943 "
"1163","2318 2382 1101 2522 2943 "
"1173","2318 2382 1101 2943 2522 "
"1177","2318 2382 1101 2522 2943 "
"1178","2318 2382 1101 2522 2943 "
"1179","2318 1101 2943 2382 2522 "
"1184","2318 1101 2382 2522 2943 "
"1189","2318 2382 1101 2522 2943 "
"1200","2318 2382 1101 2522 2943 "
"1205","2318 2382 1101 2943 2522 "
"1211","2318 2382 1101 2522 2943 "
"1212","2318 2382 1101 2522 2943 "
"1213","2318 2382 1101 2522 2943 "
"1214","2318 2382 1101 2522 2943 "
"1215","2318 2382 1101 2522 957 "
"1220","2318 2382 1101 2522 2943 "
"1229","2318 2382 1101 2943 2522 "
"1232","2318 2382 1101 2522 2943 "
"1235","2318 2382 1101 2522 2943 "
"1236","2318 2382 1101 2522 2943 "
"1258","2318 2382 1101 2522 2943 "
"1260","2318 2382 1101 2522 2943 "
"1262","2318 2382 1101 2522 2943 "
"1266","2318 2382 1101 2522 2943 "
"1270","2318 2382 1101 2522 2943 "
