%
% ARFF data file, generated by KNIME
%
% Date: Sun Nov 02 17:08:25 CET 2014
% User: Ale
%

@RELATION DataTable
@ATTRIBUTE UserId	INTEGER
@ATTRIBUTE Gender	{M,F}
@ATTRIBUTE Age	INTEGER
@ATTRIBUTE Occupation	INTEGER

@DATA
1,M,25,7
2,M,25,2
3,F,18,4
4,F,50,6
5,M,35,17
6,M,45,14
7,M,56,16
8,M,35,14
9,M,56,13
10,M,25,12
11,M,45,2
12,M,25,0
13,M,25,1
14,F,25,1
15,M,25,15
16,M,18,17
17,F,25,4
18,M,18,19
19,M,50,3
20,F,45,12
21,M,25,4
22,F,18,4
23,F,45,6
24,M,18,4
25,M,35,15
26,M,25,18
27,M,50,13
28,M,45,17
29,F,45,14
30,M,18,4
31,M,18,20
32,M,35,7
33,M,18,4
34,M,18,4
35,M,35,0
36,M,45,7
37,F,25,20
38,F,25,17
39,F,18,14
40,F,35,3
41,M,35,7
42,F,35,0
43,M,25,2
44,M,35,7
45,M,25,0
46,M,18,17
47,F,18,4
48,M,25,0
49,F,18,0
50,M,25,4
51,M,35,0
52,M,25,14
53,M,25,0
54,M,25,7
55,M,18,4
56,F,35,3
57,M,25,7
58,M,25,12
59,M,25,4
60,F,25,0
61,M,45,14
62,M,18,3
63,M,25,0
64,F,18,4
65,M,18,4
66,M,25,1
67,M,50,17
68,M,45,7
69,M,25,12
70,M,1,10
71,M,18,12
72,M,25,1
73,M,25,15
74,M,45,17
75,M,18,4
76,M,25,17
77,M,25,15
78,F,50,0
79,F,25,1
80,M,35,1
81,F,25,9
82,M,25,14
83,F,56,13
84,M,35,7
85,M,25,6
86,F,25,7
87,M,50,1
88,M,50,13
89,F,45,7
90,F,50,1
91,M,25,17
92,M,50,11
93,M,25,2
94,M,1,10
95,M,35,17
96,M,18,4
97,M,25,12
98,F,18,1
99,F,25,2
100,M,18,17
101,F,25,9
102,M,25,5
103,F,45,2
104,M,35,14
105,F,25,3
106,M,50,7
107,F,35,7
108,M,50,0
109,M,25,2
110,F,45,20
111,M,50,2
112,M,18,0
113,F,35,3
114,M,18,4
115,M,35,4
116,M,18,17
117,M,35,7
118,F,25,0
119,F,35,2
120,M,25,17
121,M,18,4
122,M,25,7
123,M,25,12
124,M,35,7
125,M,25,12
126,F,18,6
127,M,45,18
128,M,25,4
129,M,1,10
130,M,25,15
131,F,25,15
132,M,25,0
133,M,25,4
134,M,50,0
135,M,25,2
136,F,25,0
137,M,25,12
138,M,18,4
139,M,45,0
140,F,35,8
141,M,56,15
142,M,25,17
143,F,45,14
144,M,50,17
145,M,25,4
146,M,45,17
147,M,50,6
148,M,35,1
149,M,18,10
150,M,50,1
151,M,35,6
152,M,35,12
153,M,1,10
154,F,25,1
155,M,50,7
156,M,25,15
157,F,25,2
158,M,1,10
159,F,25,19
160,F,45,1
161,M,25,7
162,M,56,0
163,M,25,14
164,M,35,7
165,M,18,4
166,M,35,15
167,F,1,10
168,M,45,14
169,F,45,2
170,M,50,2
171,M,1,10
172,F,35,7
173,M,25,17
174,M,1,0
175,F,35,1
176,M,35,14
177,F,25,9
178,M,18,0
179,M,25,17
180,F,56,14
181,M,45,14
182,M,35,11
183,M,50,16
184,M,25,4
185,M,18,7
186,M,25,7
187,M,18,5
188,M,18,2
189,M,18,4
190,M,35,12
191,M,50,6
192,M,25,11
193,M,25,11
194,M,35,7
195,M,1,10
196,F,35,7
197,M,35,2
198,F,45,1
199,M,35,0
200,M,25,17
201,M,35,7
202,F,18,3
203,M,56,6
204,M,35,0
205,M,35,0
206,M,56,13
207,F,25,0
208,M,18,20
209,M,25,2
210,F,25,17
211,F,25,2
212,M,18,4
213,M,35,16
214,M,56,1
215,M,25,1
216,M,25,1
217,M,50,7
218,F,45,6
219,M,25,2
220,F,50,14
221,M,50,17
222,M,25,17
223,F,56,2
224,M,25,0
225,M,50,0
226,F,18,0
227,M,25,12
228,M,25,6
229,M,35,17
230,M,25,1
231,F,50,7
232,M,18,4
233,M,25,14
234,M,56,20
235,M,35,11
236,F,18,4
237,M,18,12
238,M,25,7
239,M,35,2
240,F,56,1
241,M,25,4
242,M,25,4
243,F,56,1
244,M,35,1
245,F,56,13
246,M,18,4
247,F,18,4
248,M,56,0
249,M,25,12
250,M,56,14
251,M,25,7
252,M,35,7
253,F,35,0
254,M,35,18
255,F,25,1
256,M,50,17
257,M,25,12
258,F,50,1
259,F,25,14
260,F,35,3
261,M,25,20
262,F,45,15
263,M,35,17
264,M,25,17
265,M,25,20
266,M,18,11
267,M,25,6
268,M,56,1
269,F,35,0
270,M,18,6
271,M,50,13
272,M,35,7
273,F,1,10
274,M,50,14
275,F,18,4
276,F,45,17
277,F,45,13
278,M,25,0
279,M,18,2
280,M,25,17
281,M,35,17
282,F,25,14
283,M,25,17
284,M,25,17
285,M,45,0
286,M,35,17
287,M,25,4
288,M,25,17
289,M,1,10
290,F,25,4
291,F,50,1
292,F,56,13
293,M,35,1
294,M,25,12
295,F,25,4
296,M,25,11
297,F,18,4
298,M,18,4
299,M,25,2
300,F,25,3
301,M,45,17
302,F,18,0
303,F,45,7
304,M,50,14
305,M,50,16
306,F,25,11
307,M,50,20
308,M,25,15
309,M,50,12
310,M,25,12
311,F,35,9
312,M,50,14
313,M,35,13
314,F,1,10
315,M,25,4
316,M,1,10
317,M,50,7
318,M,35,14
319,M,35,1
320,F,35,15
321,F,35,0
322,M,25,20
323,F,18,4
324,M,25,12
325,F,45,1
326,M,18,4
327,M,18,2
328,F,25,0
329,M,18,4
330,F,25,4
331,M,35,2
332,F,18,4
333,M,45,15
334,F,25,4
335,M,25,17
336,M,35,7
337,M,35,17
338,M,25,17
339,F,45,0
340,M,45,17
341,M,25,20
342,M,25,3
343,M,25,8
344,F,45,2
345,M,35,7
346,M,35,11
347,F,18,7
348,M,45,7
349,M,56,13
350,F,35,14
351,M,1,10
352,M,25,19
353,F,50,1
354,M,25,1
355,F,50,7
356,M,50,15
357,F,50,1
358,M,25,5
359,F,25,14
360,M,25,7
361,M,35,7
362,M,18,4
363,M,45,20
364,M,50,16
365,M,25,0
366,M,18,4
367,M,35,12
368,M,18,4
369,M,18,4
370,M,18,4
371,M,25,0
372,M,35,7
373,M,45,13
374,M,25,0
375,M,50,7
376,F,56,15
377,M,35,0
378,M,56,13
379,M,25,4
380,M,18,4
381,M,25,7
382,M,56,7
383,M,50,13
384,M,35,6
385,F,45,1
386,F,45,0
387,F,35,19
388,M,25,0
389,M,56,17
390,M,18,4
391,F,35,1
392,F,25,5
393,M,18,18
394,M,18,12
395,F,56,13
396,M,18,4
397,M,56,1
398,F,25,0
399,F,35,0
400,M,45,2
401,M,25,4
402,M,18,4
403,F,25,0
404,M,25,0
405,M,35,7
406,M,25,15
407,M,45,7
408,F,35,6
409,M,25,15
410,M,25,17
411,M,50,16
412,M,25,16
413,M,35,17
414,M,18,12
415,M,45,12
416,M,18,0
417,M,25,12
418,M,35,7
419,F,35,7
420,M,50,12
421,F,18,2
422,M,25,5
423,M,25,17
424,M,18,4
425,M,25,7
426,M,35,17
427,F,45,4
428,M,25,4
429,F,45,0
430,M,35,17
431,M,25,2
432,M,25,12
433,F,35,7
434,M,35,7
435,M,18,4
436,F,50,1
437,F,25,0
438,F,18,14
439,F,18,9
440,M,45,11
441,M,35,12
442,M,25,1
443,F,50,13
444,F,56,6
445,M,18,1
446,M,56,0
447,M,25,16
448,M,35,0
449,F,35,7
450,M,18,4
451,M,45,18
452,M,45,11
453,M,35,16
454,F,50,6
455,F,50,9
456,M,25,7
457,M,25,7
458,M,35,16
459,M,25,2
460,F,56,20
461,M,50,1
462,F,18,2
463,M,25,4
464,M,35,6
465,M,56,13
466,F,18,4
467,M,18,4
468,F,18,4
469,F,45,0
470,F,25,17
471,M,18,1
472,F,35,0
473,F,50,17
474,M,35,12
475,M,35,20
476,F,18,4
477,M,35,7
478,F,1,10
479,M,18,4
480,F,35,14
481,M,25,12
482,M,25,7
483,F,25,0
484,F,25,3
485,M,35,1
486,F,18,2
487,M,50,1
488,F,25,2
489,M,25,11
490,M,18,12
491,M,56,16
492,M,56,8
493,M,35,17
494,M,35,2
495,M,18,20
496,F,45,0
497,F,35,17
498,M,25,20
499,M,45,17
500,F,18,0
501,M,25,14
502,F,35,0
503,F,25,17
504,F,25,1
505,M,25,0
506,F,25,17
507,M,50,13
508,M,56,1
509,M,35,20
510,M,25,17
511,F,18,0
512,M,18,0
513,F,25,14
514,M,25,17
515,M,35,17
516,F,18,17
517,M,35,7
518,M,18,17
519,M,25,7
520,F,50,7
521,F,56,9
522,M,25,4
523,M,45,20
524,F,25,1
525,F,25,2
526,F,45,16
527,M,1,19
528,M,25,0
529,F,25,0
530,M,35,7
531,M,25,19
532,M,25,3
533,M,18,10
534,M,35,7
535,M,25,1
536,F,25,0
537,M,50,1
538,M,35,6
539,M,35,17
540,M,25,5
541,M,56,16
542,M,45,6
543,F,45,0
544,M,35,19
545,F,50,16
546,M,25,20
547,M,25,7
548,M,35,4
549,M,18,19
550,M,45,0
551,F,25,2
552,F,18,4
553,M,35,7
554,F,25,15
555,F,50,6
556,M,35,14
557,M,25,20
